txn_id,timestamp,customer_id,amount,payment_method,issuer,status,failure_code
TXN00026,2026-08-17 10:05:00,CUST0291,5895.47,card,Kotak,success,
TXN00027,2026-08-17 19:30:00,CUST0066,7582.76,upi,,success,
TXN00028,2026-08-17 12:59:00,CUST0217,4383.47,upi,,success,
TXN00029,2026-08-17 19:41:00,CUST0205,3081.35,wallet,,success,
TXN00030,2026-08-17 10:21:00,CUST0116,315.12,upi,,success,
TXN00031,2026-08-17 10:45:00,CUST0004,5104.16,upi,,success,
TXN00032,2026-08-17 22:21:00,CUST0017,706.23,upi,,success,
TXN00033,2026-08-17 12:34:00,CUST0249,1188.65,wallet,,success,
TXN00034,2026-08-17 21:26:00,CUST0243,1644.72,card,Axis,success,
TXN00035,2026-08-17 16:55:00,CUST0211,5873.25,card,HDFC,success,
TXN00036,2026-08-17 21:55:00,CUST0174,1007.76,upi,,success,
TXN00037,2026-08-17 11:27:00,CUST0230,1590.38,wallet,,success,
TXN00038,2026-08-17 16:51:00,CUST0039,6911.59,card,HDFC,success,
TXN00039,2026-08-17 22:00:00,CUST0277,7756.62,upi,,success,
TXN00040,2026-08-17 16:13:00,CUST0249,6937.51,card,ICICI,success,
TXN00041,2026-08-17 13:59:00,CUST0200,6304.95,wallet,,success,
TXN00042,2026-08-17 19:45:00,CUST0285,3970.37,upi,,success,
TXN00043,2026-08-17 18:47:00,CUST0030,4406.23,netbanking,HDFC,success,
TXN00044,2026-08-17 17:58:00,CUST0245,6843.85,upi,,success,
TXN00045,2026-08-17 10:54:00,CUST0261,1608.73,card,ICICI,success,
TXN00046,2026-08-17 12:37:00,CUST0292,4816.98,card,Axis,success,
TXN00047,2026-08-17 17:20:00,CUST0290,7487.44,upi,,success,
TXN00048,2026-08-17 12:16:00,CUST0161,3256.92,netbanking,Axis,success,
TXN00049,2026-08-17 09:29:00,CUST0038,5026.1,card,HDFC,success,
TXN00050,2026-08-17 13:08:00,CUST0260,7476.09,card,ICICI,success,
TXN00051,2026-08-17 16:53:00,CUST0081,4414.26,netbanking,Kotak,success,
TXN00052,2026-08-17 09:42:00,CUST0271,6564.27,netbanking,HDFC,success,
TXN00053,2026-08-17 13:07:00,CUST0069,7134.24,upi,,success,
TXN00054,2026-08-17 20:21:00,CUST0108,1748.24,netbanking,Kotak,success,
TXN00055,2026-08-17 10:40:00,CUST0027,3475.07,netbanking,HDFC,failed,generic_decline
TXN00056,2026-08-17 19:16:00,CUST0067,1418.42,wallet,,success,
TXN00057,2026-08-17 17:00:00,CUST0219,1028.21,upi,,success,
TXN00058,2026-08-17 18:35:00,CUST0190,1312.54,upi,,failed,generic_decline
TXN00059,2026-08-17 23:59:00,CUST0187,6399.56,card,SBI,success,
TXN00060,2026-08-17 19:06:00,CUST0128,2926.38,wallet,,success,
TXN00061,2026-08-17 23:59:00,CUST0080,2008.39,upi,,success,
TXN00062,2026-08-17 23:26:00,CUST0091,344.57,netbanking,Axis,success,
TXN00063,2026-08-17 13:10:00,CUST0128,6330.89,card,Axis,failed,card_expired
TXN00064,2026-08-17 12:12:00,CUST0241,6560.2,wallet,,success,
TXN00065,2026-08-17 12:01:00,CUST0117,5331.26,wallet,,success,
TXN00066,2026-08-17 21:17:00,CUST0036,2906.5,wallet,,success,
TXN00067,2026-08-17 14:01:00,CUST0275,1055.43,netbanking,ICICI,success,
TXN00068,2026-08-17 09:06:00,CUST0136,4833.08,netbanking,SBI,success,
TXN00069,2026-08-17 10:24:00,CUST0262,7211.11,upi,,success,
TXN00070,2026-08-17 09:33:00,CUST0224,7415.77,upi,,success,
TXN00071,2026-08-17 19:58:00,CUST0036,2742.07,netbanking,HDFC,success,
TXN00072,2026-08-17 17:19:00,CUST0154,5385.11,netbanking,Axis,success,
TXN00073,2026-08-17 11:12:00,CUST0284,3450.5,wallet,,success,
TXN00074,2026-08-17 18:36:00,CUST0090,2512.46,card,SBI,success,
TXN00075,2026-08-17 21:37:00,CUST0221,4912.29,netbanking,Axis,success,
TXN00076,2026-08-17 17:30:00,CUST0110,6380.82,upi,,success,
TXN00077,2026-08-17 17:42:00,CUST0146,5118.59,netbanking,HDFC,success,
TXN00078,2026-08-17 19:19:00,CUST0121,1913.43,upi,,success,
TXN00079,2026-08-17 12:30:00,CUST0024,4948.5,card,Axis,success,
TXN00080,2026-08-17 12:45:00,CUST0295,5616.38,wallet,,success,
TXN00081,2026-08-17 19:44:00,CUST0076,193.53,card,Axis,success,
TXN00082,2026-08-17 16:03:00,CUST0266,4525.64,card,Axis,success,
TXN00083,2026-08-17 19:33:00,CUST0238,7904.96,netbanking,Axis,success,
TXN00084,2026-08-17 15:53:00,CUST0259,7268.81,wallet,,success,
TXN00085,2026-08-17 16:16:00,CUST0244,6051.45,netbanking,Kotak,success,
TXN00086,2026-08-17 13:28:00,CUST0123,758.24,netbanking,ICICI,success,
TXN00087,2026-08-17 23:34:00,CUST0164,782.53,upi,,success,
TXN00088,2026-08-17 20:13:00,CUST0079,654.2,wallet,,success,
TXN00089,2026-08-17 15:03:00,CUST0239,1773.65,wallet,,success,
TXN00090,2026-08-17 20:01:00,CUST0300,6875.35,wallet,,success,
TXN00091,2026-08-17 13:48:00,CUST0181,3211.4,wallet,,success,
TXN00092,2026-08-17 21:38:00,CUST0280,7197.82,wallet,,success,
TXN00093,2026-08-17 16:01:00,CUST0224,3202.53,wallet,,success,
TXN00094,2026-08-17 23:08:00,CUST0240,7848.67,card,Axis,success,
TXN00095,2026-08-17 10:41:00,CUST0014,3514.61,wallet,,success,
TXN00096,2026-08-17 15:20:00,CUST0134,1811.53,netbanking,SBI,success,
TXN00097,2026-08-17 13:48:00,CUST0195,7616.95,wallet,,success,
TXN00098,2026-08-17 16:01:00,CUST0042,6029.84,card,SBI,success,
TXN00099,2026-08-17 21:41:00,CUST0036,466.03,card,ICICI,success,
TXN00100,2026-08-17 18:09:00,CUST0011,2022.58,wallet,,success,
TXN00101,2026-08-17 12:29:00,CUST0289,5640.8,netbanking,ICICI,success,
TXN00102,2026-08-17 21:52:00,CUST0059,1435.56,netbanking,HDFC,success,
TXN00103,2026-08-17 18:43:00,CUST0160,7278.01,wallet,,success,
TXN00104,2026-08-17 10:37:00,CUST0102,5571.32,upi,,success,
TXN00105,2026-08-17 22:43:00,CUST0155,4863.23,card,Kotak,success,
TXN00106,2026-08-17 17:27:00,CUST0178,5342.94,card,Kotak,success,
TXN00107,2026-08-17 22:26:00,CUST0007,6605.3,card,Axis,success,
TXN00108,2026-08-17 20:09:00,CUST0236,3568.57,netbanking,Kotak,success,
TXN00109,2026-08-17 21:30:00,CUST0276,3799.26,netbanking,SBI,success,
TXN00110,2026-08-17 13:56:00,CUST0045,3688.8,wallet,,success,
TXN00111,2026-08-17 14:01:00,CUST0195,4030.31,netbanking,ICICI,success,
TXN00112,2026-08-17 21:16:00,CUST0182,2821.66,netbanking,Kotak,failed,generic_decline
TXN00113,2026-08-17 10:15:00,CUST0098,5802.59,wallet,,success,
TXN00114,2026-08-17 20:30:00,CUST0124,5220.34,wallet,,success,
TXN00115,2026-08-17 10:18:00,CUST0009,1889.53,upi,,success,
TXN00116,2026-08-17 14:30:00,CUST0298,4494.76,netbanking,Axis,success,
TXN00117,2026-08-17 14:22:00,CUST0282,5667.41,netbanking,SBI,success,
TXN00118,2026-08-17 20:12:00,CUST0062,2627.05,upi,,success,
TXN00119,2026-08-17 13:46:00,CUST0248,4778.26,netbanking,HDFC,success,
TXN00120,2026-08-17 12:23:00,CUST0152,1558.62,card,Kotak,success,
TXN00121,2026-08-17 09:35:00,CUST0024,2443.27,upi,,success,
TXN00122,2026-08-17 10:55:00,CUST0252,246.28,netbanking,Axis,success,
TXN00123,2026-08-17 11:03:00,CUST0175,2131.96,wallet,,success,
TXN00124,2026-08-17 15:31:00,CUST0034,731.55,card,ICICI,success,
TXN00125,2026-08-17 13:05:00,CUST0289,7952.26,card,Kotak,success,
TXN00126,2026-08-17 21:33:00,CUST0116,3135.97,wallet,,success,
TXN00127,2026-08-17 13:36:00,CUST0220,5025.06,card,ICICI,success,
TXN00128,2026-08-17 19:05:00,CUST0136,1382.9,upi,,success,
TXN00129,2026-08-17 09:26:00,CUST0081,3686.45,wallet,,success,
TXN00130,2026-08-17 13:45:00,CUST0119,2369.34,wallet,,success,
TXN00131,2026-08-17 23:16:00,CUST0120,6334.45,upi,,success,
TXN00132,2026-08-17 12:41:00,CUST0279,1319.57,netbanking,ICICI,success,
TXN00133,2026-08-17 21:19:00,CUST0085,4821.1,netbanking,Axis,success,
TXN00134,2026-08-17 20:25:00,CUST0156,7550.01,wallet,,success,
TXN00135,2026-08-17 23:27:00,CUST0021,5916.09,netbanking,HDFC,success,
TXN00136,2026-08-17 18:01:00,CUST0295,7996.64,netbanking,Kotak,failed,generic_decline
TXN00137,2026-08-17 16:33:00,CUST0090,5264.35,netbanking,ICICI,success,
TXN00138,2026-08-17 19:52:00,CUST0224,4010.05,card,Axis,success,
TXN00139,2026-08-17 14:42:00,CUST0171,971.11,upi,,success,
TXN00140,2026-08-17 13:42:00,CUST0254,7569.77,card,Axis,success,
TXN00141,2026-08-17 14:07:00,CUST0130,7765.95,wallet,,success,
TXN00142,2026-08-17 19:55:00,CUST0001,4409.36,wallet,,success,
TXN00143,2026-08-17 14:39:00,CUST0266,6088.08,wallet,,success,
TXN00144,2026-08-17 13:35:00,CUST0105,1178.45,netbanking,Axis,success,
TXN00145,2026-08-17 10:01:00,CUST0249,7789.2,upi,,success,
TXN00146,2026-08-17 17:00:00,CUST0160,4485.17,card,ICICI,success,
TXN00147,2026-08-17 16:07:00,CUST0059,5234.52,upi,,success,
TXN00148,2026-08-17 17:45:00,CUST0150,2296.39,wallet,,success,
TXN00149,2026-08-17 16:35:00,CUST0125,1285.44,upi,,success,
TXN00150,2026-08-17 20:56:00,CUST0261,1221.59,card,SBI,success,
TXN00151,2026-08-17 14:59:00,CUST0213,6333.58,netbanking,HDFC,success,
TXN00152,2026-08-17 22:37:00,CUST0153,4702.4,wallet,,success,
TXN00153,2026-08-17 17:30:00,CUST0229,2859.22,wallet,,success,
TXN00154,2026-08-17 22:12:00,CUST0165,7849.08,upi,,success,
TXN00155,2026-08-17 22:49:00,CUST0120,3374.58,netbanking,Axis,success,
TXN00156,2026-08-17 15:42:00,CUST0196,6370.29,upi,,success,
TXN00157,2026-08-17 11:32:00,CUST0019,7728.03,netbanking,HDFC,success,
TXN00158,2026-08-17 10:33:00,CUST0226,7296.97,card,ICICI,success,
TXN00159,2026-08-17 10:30:00,CUST0080,6284.97,netbanking,SBI,success,
TXN00160,2026-08-17 19:05:00,CUST0204,6836.36,wallet,,success,
TXN00161,2026-08-17 22:34:00,CUST0250,431.81,card,ICICI,success,
TXN00162,2026-08-17 12:47:00,CUST0148,859.48,card,HDFC,success,
TXN00163,2026-08-17 23:01:00,CUST0154,511.03,card,SBI,success,
TXN00164,2026-08-17 11:15:00,CUST0221,4319.66,upi,,success,
TXN00165,2026-08-17 18:55:00,CUST0041,3152.97,upi,,success,
TXN00166,2026-08-17 11:14:00,CUST0299,3770.03,netbanking,Axis,success,
TXN00167,2026-08-17 23:51:00,CUST0005,3802.24,netbanking,Kotak,success,
TXN00168,2026-08-17 14:37:00,CUST0227,2498.36,wallet,,success,
TXN00169,2026-08-17 22:19:00,CUST0234,1713.85,wallet,,success,
TXN00170,2026-08-17 12:24:00,CUST0055,4639.59,netbanking,SBI,failed,generic_decline
TXN00171,2026-08-17 13:00:00,CUST0203,4592.54,card,Kotak,success,
TXN00172,2026-08-17 21:51:00,CUST0147,1956.43,netbanking,ICICI,success,
TXN00173,2026-08-17 19:48:00,CUST0129,5809.29,upi,,success,
TXN00174,2026-08-17 13:50:00,CUST0021,3610.46,netbanking,ICICI,success,
TXN00175,2026-08-17 14:47:00,CUST0152,3411.7,upi,,success,
TXN00176,2026-08-17 23:23:00,CUST0277,4317.19,netbanking,ICICI,success,
TXN00177,2026-08-17 21:18:00,CUST0247,6010.49,netbanking,HDFC,success,
TXN00178,2026-08-17 11:48:00,CUST0039,7737.03,wallet,,success,
TXN00179,2026-08-17 14:05:00,CUST0286,6356.85,card,SBI,success,
TXN00180,2026-08-17 14:43:00,CUST0233,6029.74,netbanking,Kotak,success,
TXN00181,2026-08-17 10:43:00,CUST0191,1985.5,card,Kotak,success,
TXN00182,2026-08-17 14:58:00,CUST0288,4939.15,card,Axis,success,
TXN00183,2026-08-17 19:26:00,CUST0155,1065.91,card,HDFC,success,
TXN00184,2026-08-17 10:06:00,CUST0253,1993.18,upi,,success,
TXN00185,2026-08-17 19:47:00,CUST0190,5617.4,wallet,,success,
TXN00186,2026-08-17 23:26:00,CUST0080,5291.14,wallet,,success,
TXN00187,2026-08-17 09:44:00,CUST0144,3058.66,wallet,,success,
TXN00188,2026-08-17 22:23:00,CUST0121,929.93,netbanking,Kotak,success,
TXN00189,2026-08-17 09:25:00,CUST0184,2315.67,card,Axis,failed,card_expired
TXN00190,2026-08-17 19:40:00,CUST0109,4837.6,card,HDFC,success,
TXN00191,2026-08-17 11:50:00,CUST0125,4581.94,card,Kotak,success,
TXN00192,2026-08-17 22:55:00,CUST0111,1979.04,upi,,success,
TXN00193,2026-08-17 13:54:00,CUST0002,7874.62,upi,,success,
TXN00194,2026-08-17 10:42:00,CUST0090,6951.62,upi,,failed,generic_decline
TXN00195,2026-08-17 18:20:00,CUST0122,273.88,netbanking,HDFC,success,
TXN00196,2026-08-17 17:07:00,CUST0216,6003.47,wallet,,success,
TXN00197,2026-08-17 17:37:00,CUST0186,1006.07,upi,,success,
TXN00198,2026-08-17 20:50:00,CUST0023,7283.7,netbanking,Axis,success,
TXN00199,2026-08-17 09:30:00,CUST0016,6801.29,wallet,,success,
TXN00200,2026-08-17 20:58:00,CUST0252,3631.96,card,SBI,success,
TXN00201,2026-08-17 11:17:00,CUST0034,5050.89,netbanking,Axis,success,
TXN00202,2026-08-17 13:29:00,CUST0272,4118.58,wallet,,success,
TXN00203,2026-08-17 22:41:00,CUST0059,5259.7,upi,,success,
TXN00204,2026-08-17 15:21:00,CUST0117,6645.24,wallet,,success,
TXN00205,2026-08-17 14:27:00,CUST0049,2603.31,netbanking,SBI,success,
TXN00206,2026-08-17 10:05:00,CUST0243,6679.41,card,Axis,success,
TXN00207,2026-08-17 21:08:00,CUST0191,4517.51,netbanking,HDFC,success,
TXN00208,2026-08-17 22:58:00,CUST0217,5810.33,netbanking,Kotak,success,
TXN00209,2026-08-17 18:32:00,CUST0054,1820.0,wallet,,success,
TXN00210,2026-08-17 14:54:00,CUST0056,4516.68,card,SBI,success,
TXN00211,2026-08-17 22:35:00,CUST0220,7800.19,card,Kotak,success,
TXN00212,2026-08-17 09:11:00,CUST0137,2295.17,netbanking,SBI,success,
TXN00213,2026-08-17 22:09:00,CUST0093,4595.62,wallet,,success,
TXN00214,2026-08-17 10:47:00,CUST0016,4314.29,wallet,,success,
TXN00215,2026-08-17 11:23:00,CUST0175,2596.35,netbanking,Kotak,success,
TXN00216,2026-08-17 11:10:00,CUST0027,6072.32,card,HDFC,success,
TXN00217,2026-08-17 16:38:00,CUST0218,3620.05,netbanking,ICICI,success,
TXN00218,2026-08-17 14:27:00,CUST0059,1020.48,wallet,,success,
TXN00219,2026-08-17 09:14:00,CUST0158,3252.82,card,HDFC,success,
TXN00220,2026-08-17 21:08:00,CUST0109,6148.66,netbanking,SBI,success,
TXN00221,2026-08-17 20:27:00,CUST0255,1529.2,wallet,,success,
TXN00222,2026-08-17 17:35:00,CUST0118,6691.83,netbanking,HDFC,success,
TXN00223,2026-08-17 15:01:00,CUST0022,3759.07,card,SBI,failed,card_expired
TXN00224,2026-08-17 15:45:00,CUST0294,5175.11,netbanking,HDFC,success,
TXN00225,2026-08-17 11:51:00,CUST0167,7588.77,wallet,,success,
TXN00226,2026-08-17 10:27:00,CUST0186,6779.2,upi,,success,
TXN00227,2026-08-17 17:05:00,CUST0206,3256.77,netbanking,SBI,success,
TXN00228,2026-08-17 10:32:00,CUST0087,5120.81,upi,,success,
TXN00229,2026-08-17 14:46:00,CUST0179,7672.05,upi,,success,
TXN00230,2026-08-17 13:12:00,CUST0075,1511.97,upi,,success,
TXN00231,2026-08-17 11:49:00,CUST0039,5079.4,wallet,,success,
TXN00232,2026-08-17 16:43:00,CUST0297,7404.61,netbanking,SBI,success,
TXN00233,2026-08-17 16:28:00,CUST0035,5106.37,netbanking,Kotak,success,
TXN00234,2026-08-17 10:19:00,CUST0260,3774.68,card,HDFC,success,
TXN00235,2026-08-17 10:41:00,CUST0147,6934.36,card,Kotak,success,
TXN00236,2026-08-17 16:37:00,CUST0197,4501.38,card,Axis,success,
TXN00237,2026-08-17 19:12:00,CUST0293,2673.99,wallet,,success,
TXN00238,2026-08-17 16:06:00,CUST0032,6516.09,netbanking,HDFC,success,
TXN00239,2026-08-17 09:15:00,CUST0089,5704.83,wallet,,success,
TXN00240,2026-08-17 14:23:00,CUST0082,7355.8,wallet,,success,
TXN00241,2026-08-17 19:38:00,CUST0174,561.07,netbanking,HDFC,success,
TXN00242,2026-08-17 19:24:00,CUST0286,2380.55,upi,,success,
TXN00243,2026-08-17 19:09:00,CUST0299,7346.46,netbanking,Axis,success,
TXN00244,2026-08-17 13:35:00,CUST0044,3106.93,netbanking,ICICI,success,
TXN00245,2026-08-17 10:41:00,CUST0270,5413.08,netbanking,HDFC,success,
TXN00246,2026-08-17 12:21:00,CUST0093,7589.2,wallet,,success,
TXN00247,2026-08-17 11:04:00,CUST0071,2471.97,card,Kotak,success,
TXN00248,2026-08-17 09:42:00,CUST0270,2793.6,upi,,success,
TXN00249,2026-08-17 11:11:00,CUST0079,6676.06,upi,,success,
TXN00250,2026-08-17 15:23:00,CUST0023,5459.45,upi,,success,
TXN00251,2026-08-17 21:47:00,CUST0146,6302.83,upi,,success,
TXN00252,2026-08-17 21:50:00,CUST0159,3831.77,upi,,success,
TXN00253,2026-08-17 16:29:00,CUST0293,6190.09,wallet,,success,
TXN00254,2026-08-17 11:52:00,CUST0215,1717.63,upi,,success,
TXN00255,2026-08-17 19:30:00,CUST0027,7011.82,card,Kotak,success,
TXN00256,2026-08-17 10:48:00,CUST0146,1408.45,wallet,,success,
TXN00257,2026-08-17 22:27:00,CUST0076,869.95,upi,,success,
TXN00258,2026-08-17 23:01:00,CUST0179,3406.94,wallet,,success,
TXN00259,2026-08-17 15:05:00,CUST0121,3093.06,card,SBI,success,
TXN00260,2026-08-17 21:09:00,CUST0172,1230.16,netbanking,Axis,success,
TXN00261,2026-08-17 21:45:00,CUST0072,3832.51,card,HDFC,failed,generic_decline
TXN00262,2026-08-17 22:09:00,CUST0111,4458.11,wallet,,success,
TXN00263,2026-08-17 12:19:00,CUST0148,1106.51,upi,,success,
TXN00264,2026-08-17 10:07:00,CUST0235,6718.0,wallet,,success,
TXN00265,2026-08-17 19:32:00,CUST0009,4664.12,upi,,success,
TXN00266,2026-08-17 18:22:00,CUST0001,2038.43,wallet,,success,
TXN00267,2026-08-17 17:23:00,CUST0044,681.28,card,Axis,success,
TXN00268,2026-08-17 19:24:00,CUST0023,7851.16,netbanking,HDFC,success,
TXN00269,2026-08-17 14:15:00,CUST0035,5903.59,card,Kotak,success,
TXN00270,2026-08-17 11:02:00,CUST0171,2915.55,netbanking,ICICI,success,
TXN00271,2026-08-17 20:30:00,CUST0238,5109.13,upi,,success,
TXN00272,2026-08-17 09:18:00,CUST0235,1732.49,upi,,success,
TXN00273,2026-08-17 23:19:00,CUST0162,4195.76,wallet,,success,
TXN00274,2026-08-17 13:22:00,CUST0098,6917.79,card,SBI,success,
TXN00275,2026-08-17 15:56:00,CUST0189,3290.17,wallet,,success,
TXN00276,2026-08-17 14:11:00,CUST0198,4045.2,wallet,,success,
TXN00277,2026-08-17 13:51:00,CUST0266,798.5,wallet,,success,
TXN00278,2026-08-17 17:18:00,CUST0093,2671.51,card,SBI,success,
TXN00279,2026-08-17 16:38:00,CUST0157,5783.65,upi,,success,
TXN00280,2026-08-17 16:02:00,CUST0180,5855.49,netbanking,Kotak,success,
TXN00281,2026-08-17 19:50:00,CUST0141,7591.05,card,Axis,success,
TXN00282,2026-08-17 09:09:00,CUST0082,6812.05,wallet,,failed,generic_decline
TXN00283,2026-08-17 12:49:00,CUST0035,5214.53,netbanking,Axis,success,
TXN00284,2026-08-17 18:09:00,CUST0017,5480.64,netbanking,SBI,success,
TXN00285,2026-08-17 18:08:00,CUST0040,4306.26,wallet,,success,
TXN00286,2026-08-17 12:07:00,CUST0143,353.42,upi,,success,
TXN00287,2026-08-17 23:35:00,CUST0199,1074.42,netbanking,Axis,success,
TXN00288,2026-08-17 20:58:00,CUST0147,7989.24,upi,,success,
TXN00289,2026-08-17 16:11:00,CUST0038,7204.63,wallet,,success,
TXN00290,2026-08-17 19:22:00,CUST0164,5719.89,netbanking,SBI,success,
TXN00291,2026-08-17 21:23:00,CUST0090,4143.73,card,ICICI,success,
TXN00292,2026-08-17 21:31:00,CUST0122,356.33,netbanking,Axis,success,
TXN00293,2026-08-17 11:39:00,CUST0283,7091.33,card,SBI,success,
TXN00294,2026-08-17 17:26:00,CUST0246,6187.94,card,ICICI,success,
TXN00295,2026-08-17 16:29:00,CUST0038,5488.86,netbanking,ICICI,success,
TXN00296,2026-08-17 19:37:00,CUST0283,1578.41,upi,,success,
TXN00297,2026-08-17 22:07:00,CUST0029,4217.1,netbanking,ICICI,success,
TXN00298,2026-08-17 14:33:00,CUST0116,7175.17,card,SBI,success,
TXN00299,2026-08-17 13:08:00,CUST0283,5056.43,card,Kotak,success,
TXN00300,2026-08-17 11:10:00,CUST0298,5321.05,netbanking,Kotak,failed,generic_decline
TXN00301,2026-08-17 10:02:00,CUST0015,7596.09,netbanking,ICICI,success,
TXN00302,2026-08-17 18:40:00,CUST0214,387.74,netbanking,SBI,success,
TXN00303,2026-08-17 13:29:00,CUST0208,722.84,card,ICICI,success,
TXN00304,2026-08-17 16:13:00,CUST0248,2820.51,upi,,success,
TXN00305,2026-08-17 20:55:00,CUST0164,2861.16,wallet,,success,
TXN00306,2026-08-17 17:35:00,CUST0190,983.54,upi,,success,
TXN00307,2026-08-17 16:15:00,CUST0137,1255.89,card,SBI,success,
TXN00308,2026-08-17 12:55:00,CUST0215,7233.14,netbanking,Kotak,success,
TXN00309,2026-08-17 21:10:00,CUST0098,4061.38,wallet,,success,
TXN00310,2026-08-17 16:01:00,CUST0158,856.89,wallet,,success,
TXN00311,2026-08-17 12:37:00,CUST0124,2920.23,card,SBI,success,
TXN00312,2026-08-17 13:34:00,CUST0241,214.19,card,Axis,success,
TXN00313,2026-08-17 20:23:00,CUST0136,6146.28,netbanking,HDFC,success,
TXN00314,2026-08-17 17:12:00,CUST0292,2995.81,netbanking,HDFC,success,
TXN00315,2026-08-17 21:35:00,CUST0231,2345.81,card,ICICI,success,
TXN00316,2026-08-17 14:50:00,CUST0202,7896.28,netbanking,ICICI,success,
TXN00317,2026-08-17 15:32:00,CUST0261,466.0,card,ICICI,success,
TXN00318,2026-08-17 17:29:00,CUST0243,1319.18,upi,,success,
TXN00319,2026-08-17 11:25:00,CUST0164,7926.33,netbanking,Kotak,success,
TXN00320,2026-08-17 17:31:00,CUST0261,5713.61,netbanking,Axis,success,
TXN00321,2026-08-17 14:43:00,CUST0189,1010.4,wallet,,success,
TXN00322,2026-08-17 18:30:00,CUST0014,2234.41,upi,,success,
TXN00323,2026-08-17 16:10:00,CUST0299,4265.22,wallet,,success,
TXN00324,2026-08-17 09:36:00,CUST0125,7593.41,card,ICICI,failed,generic_decline
TXN00325,2026-08-17 15:09:00,CUST0161,3391.74,upi,,success,
TXN00326,2026-08-17 22:54:00,CUST0242,5926.32,card,ICICI,success,
TXN00327,2026-08-17 14:42:00,CUST0288,3905.21,wallet,,success,
TXN00328,2026-08-17 16:58:00,CUST0089,4335.05,netbanking,SBI,success,
TXN00329,2026-08-17 12:17:00,CUST0099,4530.98,upi,,success,
TXN00330,2026-08-17 21:18:00,CUST0153,5683.47,wallet,,success,
TXN00331,2026-08-17 17:59:00,CUST0179,7485.71,netbanking,SBI,success,
TXN00332,2026-08-17 15:57:00,CUST0279,7844.26,netbanking,ICICI,success,
TXN00333,2026-08-17 20:05:00,CUST0148,2868.95,wallet,,success,
TXN00334,2026-08-17 12:12:00,CUST0246,6649.42,netbanking,Kotak,success,
TXN00335,2026-08-17 10:39:00,CUST0071,5965.99,upi,,success,
TXN00336,2026-08-17 12:40:00,CUST0272,1977.77,card,Axis,success,
TXN00337,2026-08-17 10:43:00,CUST0242,6200.51,card,Kotak,success,
TXN00338,2026-08-17 15:41:00,CUST0081,7490.0,wallet,,success,
TXN00339,2026-08-17 21:18:00,CUST0103,2671.17,card,HDFC,success,
TXN00340,2026-08-17 17:47:00,CUST0119,5826.47,card,ICICI,success,
TXN00341,2026-08-17 23:58:00,CUST0091,435.27,wallet,,success,
TXN00342,2026-08-17 23:47:00,CUST0096,7702.73,netbanking,HDFC,failed,generic_decline
TXN00343,2026-08-17 18:06:00,CUST0291,7438.37,netbanking,SBI,success,
TXN00344,2026-08-17 17:31:00,CUST0279,7130.69,upi,,success,
TXN00345,2026-08-17 13:12:00,CUST0240,6499.19,netbanking,ICICI,success,
TXN00346,2026-08-17 20:11:00,CUST0132,260.56,netbanking,SBI,success,
TXN00347,2026-08-17 11:39:00,CUST0099,6870.75,wallet,,success,
TXN00348,2026-08-17 14:05:00,CUST0264,3296.54,card,ICICI,success,
TXN00349,2026-08-17 14:59:00,CUST0245,2097.17,netbanking,Axis,success,
TXN00350,2026-08-17 14:19:00,CUST0137,4722.32,card,SBI,success,
TXN00351,2026-08-17 09:42:00,CUST0121,1078.07,netbanking,ICICI,success,
